CC.TABLE_NAME||'|'||CC.COLUMN_NAME||'|'||RC.TABLE_NAME||'|'||RC.COLUMN_NAME||'|'||C.CONSTRAINT_NAME
BATCH5_JOB_EXECUTION|JOB_INSTANCE_ID|BATCH5_JOB_INSTANCE|JOB_INSTANCE_ID|BATCH5_JOB_INST_EXEC_FK
GCRCFLD|GCRCFLD_FOLDER_ID|GCRFLDR|GCRFLDR_SURROGATE_ID|FK_GCRCFLD_INV_GCRFLDR
GCRCITM|GCRCITM_ORGANIZATION_ID|GCRORAN|GCRORAN_SURROGATE_ID|FK1_GCRCITM_INV_GCRORAN
GCRCITM|GCRCITM_TEMPLATE_ID|GCBTMPL|GCBTMPL_SURROGATE_ID|FK1_GCRCITM_INV_GCBTMPL
GCREITM|GCREITM_SURROGATE_ID|GCRCITM|GCRCITM_SURROGATE_ID|FK_GCREITM_INV_GCRCITM
GCRFLPM|GCRFLPM_FIELD_ID|GCRCFLD|GCRCFLD_SURROGATE_ID|FK1_GCRFLPM_INV_GCRCFLD
GCRFLPM|GCRFLPM_PARAMETER_ID|GCRPARM|GCRPARM_SURROGATE_ID|FK1_GCRFLPM_INV_GCRPARM
GCRFPRM|GCRFPRM_FIELD_ID|GCRCFLD|GCRCFLD_SURROGATE_ID|FK_GCRFPRM_INV_GCRCFLD
GCRFVAL|GCRFVAL_RECIPIENT_DATA_ID|GCBRDAT|GCBRDAT_SURROGATE_ID|FK1_GCRFVAL_INV_GCBRDAT
GCRGSIM|GCRGSIM_GROUP_SEND_ID|GCBGSND|GCBGSND_SURROGATE_ID|FK1_GCRGSIM_INV_GCBGSND
GCRITPE|GCRITPE_FOLDER_ID|GCRFLDR|GCRFLDR_SURROGATE_ID|FK1_GCRITPE_INV_GCRFLDR
GCRLENT|GCRLENT_SLIS_ID|GCRSLIS|GCRSLIS_SURROGATE_ID|FK_GCRLENT_INV_GCRSLIS
GCRLETM|GCRLETM_SURROGATE_ID|GCRCITM|GCRCITM_SURROGATE_ID|FK_GCRLETM_INV_GCRCITM
GCRLMAP|GCRLMAP_LETR_ID|GTVLETR|GTVLETR_SURROGATE_ID|FK1_GCRLMAP_INV_GTVLETR
GCRMINT|GCRMINT_INTERACTION_TYPE_ID|GCRITPE|GCRITPE_SURROGATE_ID|FK1_GCRMINT_INV_GCRITPE
GCRMINT|GCRMINT_ORGANIZATION_ID|GCRORAN|GCRORAN_SURROGATE_ID|FK1_GCRMINT_INV_GCRORAN
GCRMITM|GCRMITM_SURROGATE_ID|GCRCITM|GCRCITM_SURROGATE_ID|FK_GCRMITM_INV_GCRCITM
GCRORAN|GCRORAN_PARENT_ID|GCRORAN|GCRORAN_SURROGATE_ID|FK_GCRORAN_INV_GCRORAN
GCRPOPC|GCRPOPC_POPV_ID|GCRPOPV|GCRPOPV_SURROGATE_ID|FK1_GCRPOPC_INV_GCRPOPV
GCRPOPC|GCRPOPC_QRYV_ID|GCRQRYV|GCRQRYV_SURROGATE_ID|FK1_GCRPOPC_INV_GCRQRYV
GCRPOPC|GCRPOPC_SLIS_ID|GCRSLIS|GCRSLIS_SURROGATE_ID|FK1_GCRPOPC_INV_GCRSLIS
GCRPOPV|GCRPOPV_POPL_ID|GCBPOPL|GCBPOPL_SURROGATE_ID|FK1_GCRPOPV_INV_GCBPOPL
GCRPQID|GCRPQID_POPL_ID|GCBPOPL|GCBPOPL_SURROGATE_ID|FK1_GCRPQID_INV_GCBPOPL
GCRPQID|GCRPQID_QRYV_ID|GCRQRYV|GCRQRYV_SURROGATE_ID|FK1_GCRPQID_INV_GCRQRYV
GCRPQID|GCRPQID_QURY_ID|GCBQURY|GCBQURY_SURROGATE_ID|FK1_GCRPQID_INV_GCBQURY
GCRPRCU|GCRPRCU_GCBBPRC_ID|GCBBPRC|GCBBPRC_SURROGATE_ID|FK_GCRPRCU_INV_GCBBPRC
